#timestamp total_cpu total_mem
0 30.732456 21.216664
1 30.732456 21.216664
2 30.732456 21.216664
3 30.732456 21.216664
4 30.732456 21.216664
5 30.732456 21.216664
6 30.732456 21.216664
7 30.732456 21.216664
8 30.732456 21.216664
9 30.732456 21.216664
10 30.732456 21.216664
11 30.732456 21.216664
12 30.732456 21.216664
13 30.732456 21.216664
14 30.732456 21.216664
15 30.732456 21.216664
16 30.732456 21.216664
17 30.732456 21.216664
18 30.732456 21.216664
19 30.732456 21.216664
20 30.732456 21.216664
21 30.732456 21.216664
22 30.732456 21.216664
23 30.732456 21.216664
24 30.732456 21.216664
25 30.732456 21.216664
26 30.732456 21.216664
27 30.732456 21.216664
28 30.732456 21.216664
29 30.732456 21.216664
30 30.732456 21.216664
31 30.732456 21.216664
32 30.732456 21.216664
33 30.732456 21.216664
34 30.732456 21.216664
35 30.732456 21.216664
36 30.732456 21.216664
37 30.732456 21.216664
38 30.732456 21.216664
39 30.732456 21.216664
40 30.732456 21.216664
41 30.732456 21.216664
42 30.732456 21.216664
43 30.732456 21.216664
44 30.732456 21.216664
45 30.732456 21.216664
46 30.732456 21.216664
47 30.732456 21.216664
48 30.732456 21.216664
49 30.732456 21.216664
50 30.732456 21.216664
51 30.732456 21.216664
52 30.732456 21.216664
53 30.732456 21.216664
54 30.732456 21.216664
55 30.732456 21.216664
56 30.732456 21.216664
57 30.732456 21.216664
58 30.732456 21.216664
59 30.732456 21.216664
60 30.732456 21.216664
61 30.732456 21.216664
62 30.732456 21.216664
63 30.732456 21.216664
64 30.732456 21.216664
65 30.732456 21.216664
66 30.732456 21.216664
67 30.732456 21.216664
68 30.732456 21.216664
69 30.732456 21.216664
70 30.732456 21.216664
71 30.732456 21.216664
72 30.732456 21.216664
73 30.732456 21.216664
74 30.732456 21.216664
75 30.732456 21.216664
76 30.732456 21.216664
77 30.732456 21.216664
78 30.732456 21.216664
79 30.732456 21.216664
80 30.732456 21.216664
81 30.732456 21.216664
82 30.732456 21.216664
83 30.732456 21.216664
84 30.732456 21.216664
85 30.732456 21.216664
86 30.732456 21.216664
87 30.732456 21.216664
88 30.732456 21.216664
89 30.732456 21.216664
90 30.732456 21.216664
91 30.732456 21.216664
92 30.732456 21.216664
93 30.732456 21.216664
94 30.732456 21.216664
95 30.732456 21.216664
96 30.732456 21.216664
97 30.732456 21.216664
98 30.732456 21.216664
99 30.732456 21.216664
100 30.732456 21.216664
101 30.732456 21.216664
102 30.732456 21.216664
103 30.732456 21.216664
104 30.732456 21.216664
105 30.732456 21.216664
106 30.732456 21.216664
107 30.732456 21.216664
108 30.732456 21.216664
109 30.732456 21.216664
110 30.732456 21.216664
111 30.732456 21.216664
112 30.732456 21.216664
113 30.732456 21.216664
114 30.732456 21.216664
115 30.732456 21.216664
116 30.732456 21.216664
117 30.732456 21.216664
118 30.732456 21.216664
119 30.732456 21.216664
120 30.732456 21.216664
121 30.732456 21.216664
122 30.732456 21.216664
123 30.732456 21.216664
124 30.732456 21.216664
125 30.732456 21.216664
126 30.732456 21.216664
