# Logfile created on 2016-09-08 13:56:24 +0200 by logger.rb/v1.2.7
stop:1473336632 #<Container name:borg-6251640760-23 ID:9e9b43f02eae2a7735423d3509c6f875526d3d42f8aa656cace93a71b0240965 start:1473335887 generation_timestamps:{:nursery=>{:start=>1473335887, :stop=>1473336632}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.9937639417266186, :mean=>0.15994782375179337}, :memory=>{:max=>267116544, :mean=>264213396}}>
stop:1473336667 #<Container name:borg-6251685978-0 ID:85947e2f25b589194fdd0e436743b976bdaa60730bbab41bdb942a03ee28d14a start:1473336646 generation_timestamps:{:nursery=>{:start=>1473336646, :stop=>1473336667}} generation_current:nursery cpu:0.0 mem:0.005 metrics:{:cpu=>{:max=>0, :mean=>0}, :memory=>{:max=>0, :mean=>0}}>
stop:1473336731 #<Container name:borg-6251675508-16 ID:97c79ff6dc6e2c5284554c0810b0e3793f6849eff5419e2b5c317fdfa28fb81c start:1473336622 generation_timestamps:{:nursery=>{:start=>1473336622, :stop=>1473336731}} generation_current:nursery cpu:0.074952 mem:0.08384 metrics:{:cpu=>{:max=>1.2113324133635335, :mean=>0.3586688263290413}, :memory=>{:max=>83816448, :mean=>79434222}}>
stop:1473336732 #<Container name:borg-6251674199-961 ID:108f8beb1f12dc14e827fe40be432e041ed7d055740d526418c41f3323a27c45 start:1473336608 generation_timestamps:{:nursery=>{:start=>1473336608, :stop=>1473336732}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.088529555459272, :mean=>0.9740073638525328}, :memory=>{:max=>267116544, :mean=>258713827}}>
stop:1473336747 #<Container name:borg-6251674199-224 ID:112cbb34a295155392e857ba97a33615ceab83e5532bf32c3ed234525c290257 start:1473336600 generation_timestamps:{:nursery=>{:start=>1473336600, :stop=>1473336747}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.155407792719168, :mean=>1.029867978059227}, :memory=>{:max=>267116544, :mean=>264163157}}>
stop:1473336757 #<Container name:borg-6251640760-786 ID:e120caa023d3e5438bdf88648fcd8714467ac95954ce3719db576d654f9e535d start:1473335863 generation_timestamps:{:nursery=>{:start=>1473335863, :stop=>1473336757}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.1239372538505419, :mean=>0.20828018278204194}, :memory=>{:max=>267116544, :mean=>265987268}}>
stop:1473336761 #<Container name:borg-6251674199-436 ID:fc7f5bf724e5a42874f9470f09a4cd5550d5cd7de8122962ac9348a11e62b750 start:1473336606 generation_timestamps:{:nursery=>{:start=>1473336606, :stop=>1473336761}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.3918086420047733, :mean=>1.0268978946018776}, :memory=>{:max=>267116544, :mean=>261799535}}>
stop:1473336767 #<Container name:borg-6251674199-643 ID:d628bce45b0c984dd00b6d8e952f1d35aabcc3e19a34e11a979398822c18214d start:1473336609 generation_timestamps:{:nursery=>{:start=>1473336609, :stop=>1473336767}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.404538379093199, :mean=>0.9427389868602774}, :memory=>{:max=>267116544, :mean=>260502588}}>
stop:1473336787 #<Container name:borg-6251637895-35 ID:824d68414778046757fccdea8d1e00466a63bac6e99fbe6e4a0c334190f80e2b start:1473335884 generation_timestamps:{:nursery=>{:start=>1473335884, :stop=>1473336787}} generation_current:nursery cpu:0.1 mem:0.12424 metrics:{:cpu=>{:max=>1.107284231547619, :mean=>0.12337876562168364}, :memory=>{:max=>124239872, :mean=>123613501}}>
stop:1473336792 #<Container name:borg-6251674199-542 ID:1df7b24aff978545daa6d90796941d6f813d53432aec5c7fa561f67954505106 start:1473336603 generation_timestamps:{:nursery=>{:start=>1473336603, :stop=>1473336792}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.3803800385273972, :mean=>0.8643679422624765}, :memory=>{:max=>267112448, :mean=>262692273}}>
