# Logfile created on 2016-09-08 15:38:34 +0200 by logger.rb/v1.2.7
stop:1473342765 #<Container name:borg-6251640760-23 ID:c27b6ae58efa7e5300b6652076033205f5845b2f6b603b2617e62acf88c7d253 start:1473341966 generation_timestamps:{:nursery=>{:start=>1473341966, :stop=>1473342765}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.3469542064917126, :mean=>0.2415746427099798}, :memory=>{:max=>267116544, :mean=>266100694}}>
stop:1473342795 #<Container name:borg-6251685978-0 ID:a3b7d17c1c0028784767c4bd5888fe5df5e45f93eed8ae70ff6afd6ee93e4919 start:1473342777 generation_timestamps:{:nursery=>{:start=>1473342777, :stop=>1473342795}} generation_current:nursery cpu:0.0 mem:0.005 metrics:{:cpu=>{:max=>0, :mean=>0}, :memory=>{:max=>0, :mean=>0}}>
stop:1473342860 #<Container name:borg-6251675508-16 ID:285bc64f4dfef17e6dae194ffca8915ce2f4f10b542525483a4ce60442b5262c start:1473342737 generation_timestamps:{:nursery=>{:start=>1473342737, :stop=>1473342860}} generation_current:nursery cpu:0.074952 mem:0.08384 metrics:{:cpu=>{:max=>1.098424647940075, :mean=>0.5601189496154065}, :memory=>{:max=>83836928, :mean=>81265434}}>
stop:1473342865 #<Container name:borg-6251674199-961 ID:83ef25c37ea1ba7dd2a899665d95576a2bff5b83c903673cb81585a6dd43fa13 start:1473342739 generation_timestamps:{:nursery=>{:start=>1473342739, :stop=>1473342865}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.998163640672783, :mean=>1.0435588738398263}, :memory=>{:max=>267116544, :mean=>258524140}}>
stop:1473342875 #<Container name:borg-6251674199-224 ID:6df9515b8e15e972d80f8a1ab506a9253a8d2187382a4637b0772994bce4032b start:1473342729 generation_timestamps:{:nursery=>{:start=>1473342729, :stop=>1473342875}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.5100462528735632, :mean=>1.0281378169446087}, :memory=>{:max=>267116544, :mean=>258465792}}>
stop:1473342886 #<Container name:borg-6251640760-786 ID:4572aae07da5c420ed0b7cc4bb68f44d9e62bd6dd142fa4e5b95067ac9290e0d start:1473342002 generation_timestamps:{:nursery=>{:start=>1473342002, :stop=>1473342885}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.4619851678880746, :mean=>0.21805880491554197}, :memory=>{:max=>267116544, :mean=>266035526}}>
stop:1473342895 #<Container name:borg-6251674199-436 ID:0300d6b426edc9550ea81795a9e0844eb5c3bd7a28e6b01c7184a317f5677c66 start:1473342733 generation_timestamps:{:nursery=>{:start=>1473342733, :stop=>1473342895}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.7709915189558731, :mean=>1.0006341796034663}, :memory=>{:max=>267116544, :mean=>263214702}}>
stop:1473342900 #<Container name:borg-6251674199-643 ID:c20d973e3a69f24294d13b3a0e5fb874337e6b4f9e4f061f4bb1345069ef2a59 start:1473342733 generation_timestamps:{:nursery=>{:start=>1473342733, :stop=>1473342900}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.709809173747622, :mean=>0.9212472652391123}, :memory=>{:max=>267116544, :mean=>259293465}}>
stop:1473342916 #<Container name:borg-6251637895-35 ID:df6995a89e956d5272e1ee7e5be190162db6e0c6a531fd42c67d6a05e123b736 start:1473341966 generation_timestamps:{:nursery=>{:start=>1473341966, :stop=>1473342916}} generation_current:nursery cpu:0.1 mem:0.12424 metrics:{:cpu=>{:max=>1.2508115804444444, :mean=>0.1333597293232027}, :memory=>{:max=>124239872, :mean=>123722372}}>
stop:1473342920 #<Container name:borg-6251674199-857 ID:3f34b66a567f0d24c257004851c655408cfe20d2ea004a129db2587acd0c313c start:1473342737 generation_timestamps:{:nursery=>{:start=>1473342737, :stop=>1473342920}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.8145220727650728, :mean=>0.9141302438399521}, :memory=>{:max=>267112448, :mean=>260396172}}>
stop:1473342921 #<Container name:borg-6251672941-324 ID:2416e7c5afbaf33b31e47735ae06421fb53ccf5720d6c24981ece81353c3904c start:1473342722 generation_timestamps:{:nursery=>{:start=>1473342722, :stop=>1473342921}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.1092601570048308, :mean=>0.9177730231344943}, :memory=>{:max=>267112448, :mean=>264320805}}>
stop:1473342925 #<Container name:borg-6251674199-542 ID:6963bd3a69991a6532d4c0e83c534b72f6d801d3eb15cd6cd767fbf176c70a0a start:1473342733 generation_timestamps:{:nursery=>{:start=>1473342733, :stop=>1473342925}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.175085564686737, :mean=>0.9077903835147787}, :memory=>{:max=>267116544, :mean=>262003615}}>
stop:1473342930 #<Container name:borg-6251672941-855 ID:e1aa8b07b13d8025585b3e96d3de8b7af16d277dbca79c2fbbc97df985a59954 start:1473342726 generation_timestamps:{:nursery=>{:start=>1473342726, :stop=>1473342930}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.7686877253922968, :mean=>0.9317808440645428}, :memory=>{:max=>267116544, :mean=>261988509}}>
stop:1473342931 #<Container name:borg-6251674199-118 ID:a8abb7388893b0134670b57099f68f3442651e02d968705d65234f2cd90f585a start:1473342729 generation_timestamps:{:nursery=>{:start=>1473342729, :stop=>1473342931}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.5445438280977313, :mean=>0.8899714503371132}, :memory=>{:max=>267112448, :mean=>261730466}}>
stop:1473342936 #<Container name:borg-6251672941-430 ID:e2525f9a895ae63e0cbbd180fa977215d89bf9472d30464f369b566818305324 start:1473342725 generation_timestamps:{:nursery=>{:start=>1473342725, :stop=>1473342936}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.7643398067092653, :mean=>0.8518138905390222}, :memory=>{:max=>267116544, :mean=>258292527}}>
stop:1473342936 #<Container name:borg-6251672941-646 ID:5c8631dd9d9b2726535ea5e0c231871d400ef655d3fb417a0148b5a57ebe4c02 start:1473342725 generation_timestamps:{:nursery=>{:start=>1473342725, :stop=>1473342936}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.665955945035461, :mean=>0.8333668484350834}, :memory=>{:max=>267112448, :mean=>262363782}}>
stop:1473342936 #<Container name:borg-6251674199-751 ID:7a3b2d483ee9a03bf6823a074442cb0ea71fc3509c5ade7e1b3a80fc785f682d start:1473342744 generation_timestamps:{:nursery=>{:start=>1473342744, :stop=>1473342936}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.3897052931937173, :mean=>0.9284723428963014}, :memory=>{:max=>267116544, :mean=>261368451}}>
stop:1473342936 #<Container name:borg-6251672941-959 ID:2c90062c00b4d001949339553e3f040d69ef2e03866da73475c2a03e0021b636 start:1473342732 generation_timestamps:{:nursery=>{:start=>1473342732, :stop=>1473342936}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.2265914250281849, :mean=>0.8623279713815583}, :memory=>{:max=>267116544, :mean=>261774503}}>
stop:1473342955 #<Container name:borg-6251672941-11 ID:eee07f0f135b80088558f658c265f73c45309ca5d817740a40d3e1a299623b34 start:1473342722 generation_timestamps:{:nursery=>{:start=>1473342722, :stop=>1473342955}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.3034377445742904, :mean=>0.628499795673627}, :memory=>{:max=>267116544, :mean=>263525376}}>
stop:1473342955 #<Container name:borg-6251672941-222 ID:433023f0e54b587d40c4f14d83ef1828b912e1d0743ad3772866dd50c3330161 start:1473342722 generation_timestamps:{:nursery=>{:start=>1473342722, :stop=>1473342955}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.1357800883748517, :mean=>0.8136419135202964}, :memory=>{:max=>267116544, :mean=>260728079}}>
stop:1473342961 #<Container name:borg-6251674199-14 ID:dbd428aa94f66531607461a1e644971bf3bdaf69f47c0535e332941843da2229 start:1473342729 generation_timestamps:{:nursery=>{:start=>1473342729, :stop=>1473342960}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.5099575133037695, :mean=>0.7495452294009979}, :memory=>{:max=>267116544, :mean=>263227855}}>
stop:1473342966 #<Container name:borg-6251672941-112 ID:8737063aab5f011fde3b9e7e27db2f612dee49e04391d86439166ce3f4789e0a start:1473342721 generation_timestamps:{:nursery=>{:start=>1473342721, :stop=>1473342966}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.1439780683760683, :mean=>0.659040776681634}, :memory=>{:max=>267116544, :mean=>263610194}}>
stop:1473342971 #<Container name:borg-6251672941-540 ID:850baa6905dce72df3b615ef54d73c6c2dfef4195cb5f9670f53ab4a8ba05662 start:1473342725 generation_timestamps:{:nursery=>{:start=>1473342725, :stop=>1473342971}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.3229449865293186, :mean=>0.6589229205529775}, :memory=>{:max=>267116544, :mean=>264095935}}>
stop:1473343030 #<Container name:borg-6251674199-327 ID:0c77eeade065e06f08db4f7b1fe58146eb14bb4b16361779b3be743e1778571d start:1473342732 generation_timestamps:{:nursery=>{:start=>1473342732, :stop=>1473343030}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.7943828014018692, :mean=>0.5246445285064258}, :memory=>{:max=>267112448, :mean=>264132349}}>
stop:1473343031 #<Container name:borg-6251688370-0 ID:bf8aa17c5a14793f2baa945494cc60033e74eff11df5087637baab47bcf6922a start:1473342840 generation_timestamps:{:nursery=>{:start=>1473342840, :stop=>1473343031}} generation_current:nursery cpu:0.39992 mem:0.055912 metrics:{:cpu=>{:max=>1.1013288911627908, :mean=>1.0124763036975897}, :memory=>{:max=>55910400, :mean=>55265453}}>
stop:1473343040 #<Container name:borg-6251672941-750 ID:6fef454727587f49ae96281858facd596ededf7367d824485afc6c738af8200d start:1473342728 generation_timestamps:{:nursery=>{:start=>1473342728, :stop=>1473343040}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.3102588054054054, :mean=>0.5485915351123279}, :memory=>{:max=>267116544, :mean=>264886873}}>
stop:1473343046 #<Container name:borg-6251539840-23 ID:71cf0339b43ea81f8d7963ddf9770a0b3f9e3b596d40f4723f848db5449e2b2b start:1473341975 generation_timestamps:{:nursery=>{:start=>1473341975, :stop=>1473343046}} generation_current:nursery cpu:0.19992 mem:0.2036 metrics:{:cpu=>{:max=>1.450995417218543, :mean=>0.13743229173050303}, :memory=>{:max=>203599872, :mean=>202750686}}>
stop:1473343051 #<Container name:borg-6251696151-2 ID:825450a77138c944d8435a9c4a8c956e936f604e30fac374277aaeb620a2075d start:1473342952 generation_timestamps:{:nursery=>{:start=>1473342952, :stop=>1473343051}} generation_current:nursery cpu:0.069336 mem:0.029968 metrics:{:cpu=>{:max=>1.0793891884580704, :mean=>0.42650031906902636}, :memory=>{:max=>29954048, :mean=>28427210}}>
stop:1473343056 #<Container name:borg-6251539840-373 ID:6ad0e1b4957a334022071cdd22081b359e1d21ebc90f5721f65d5ffc6862b060 start:1473341965 generation_timestamps:{:nursery=>{:start=>1473341965, :stop=>1473343056}} generation_current:nursery cpu:0.19992 mem:0.2036 metrics:{:cpu=>{:max=>1.1435135649671053, :mean=>0.18326458382270738}, :memory=>{:max=>203599872, :mean=>202700241}}>
stop:1473343131 #<Container name:borg-6250505806-197 ID:5e913b5088e4690d78d08d1220e1251fb8f5f019fa51042d62b1d4e018e9830a start:1473341989 generation_timestamps:{:nursery=>{:start=>1473341989, :stop=>1473343131}} generation_current:nursery cpu:0.40872 mem:0.31248 metrics:{:cpu=>{:max=>1.3459295914866582, :mean=>0.39608457014946447}, :memory=>{:max=>312479744, :mean=>311150701}}>
stop:1473343170 #<Container name:borg-6251539840-276 ID:64da32d91c56d54698943ce1671ecd74b38fa6c7b0479678daf33bc1d52b8116 start:1473342004 generation_timestamps:{:nursery=>{:start=>1473342004, :stop=>1473343170}} generation_current:nursery cpu:0.19992 mem:0.2036 metrics:{:cpu=>{:max=>1.849565863833478, :mean=>0.12327790216781945}, :memory=>{:max=>203599872, :mean=>202721973}}>
stop:1473343281 #<Container name:borg-6251704965-1 ID:cb6d28124ed78305083ce9b821fe927e9e0ec08bddd1f746e770f8eb82d92847 start:1473343132 generation_timestamps:{:nursery=>{:start=>1473343132, :stop=>1473343281}} generation_current:nursery cpu:0.054568 mem:0.015776 metrics:{:cpu=>{:max=>1.0997114694261525, :mean=>0.3867068224347053}, :memory=>{:max=>15773696, :mean=>15447399}}>
stop:1473343291 #<Container name:borg-6251687275-204 ID:48aa96c652ab4748ecc559434c4d8e1f3914cfefc672d364149ae3978b5b7e20 start:1473342834 generation_timestamps:{:nursery=>{:start=>1473342834, :stop=>1473343291}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.533920451632779, :mean=>0.3868695571046833}, :memory=>{:max=>267116544, :mean=>264738400}}>
stop:1473343291 #<Container name:borg-6251687275-621 ID:3e9b0fd3b0606923931617e51da7e707a9649c2e18976451a19c1436b5239c0b start:1473342855 generation_timestamps:{:nursery=>{:start=>1473342855, :stop=>1473343291}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.9981944131205673, :mean=>0.4022480289521441}, :memory=>{:max=>267116544, :mean=>264596013}}>
stop:1473343296 #<Container name:borg-6251687275-309 ID:ae61cf571dec57ca3246c0af3a4e601a5f72b79b481e0e3cc278e80c2258607d start:1473342833 generation_timestamps:{:nursery=>{:start=>1473342833, :stop=>1473343296}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.1051567700606877, :mean=>0.38635093741787246}, :memory=>{:max=>267116544, :mean=>264729127}}>
stop:1473343301 #<Container name:borg-6251687275-413 ID:968583b977334f2e4726f9cfd1bef4164f23b1a19b6010343cf86d06715ab24b start:1473342835 generation_timestamps:{:nursery=>{:start=>1473342835, :stop=>1473343301}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.517929347607053, :mean=>0.36841836637614733}, :memory=>{:max=>267116544, :mean=>265039540}}>
stop:1473343306 #<Container name:borg-6251687275-836 ID:f92816186bb1c47d061ed5af4b372870023b81380a88550216dc4d230f004669 start:1473342838 generation_timestamps:{:nursery=>{:start=>1473342838, :stop=>1473343306}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.7736057023121388, :mean=>0.3968356015746562}, :memory=>{:max=>267116544, :mean=>264706501}}>
stop:1473343306 #<Container name:borg-6251687275-942 ID:da873ae64be9ca39ac5322d59ecafc3838e4199c17e46b6cc38b03e0db60b526 start:1473342838 generation_timestamps:{:nursery=>{:start=>1473342838, :stop=>1473343306}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.9984394593175854, :mean=>0.34234491800545486}, :memory=>{:max=>267116544, :mean=>264995408}}>
stop:1473343326 #<Container name:borg-6251687275-729 ID:df6c99c74016903ef0020c35deff273d782bd96492a9057ed19d2dd5a34b6e73 start:1473342837 generation_timestamps:{:nursery=>{:start=>1473342837, :stop=>1473343326}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.7659866848381602, :mean=>0.34105596801001414}, :memory=>{:max=>267116544, :mean=>264565622}}>
stop:1473343347 #<Container name:borg-6251687275-98 ID:1a8f6e64f1942316e3ff861432ec8d7b0e61bdabacccc22e059462500f065e2e start:1473342833 generation_timestamps:{:nursery=>{:start=>1473342833, :stop=>1473343347}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.1761549259478672, :mean=>0.332364456620384}, :memory=>{:max=>267116544, :mean=>264592396}}>
stop:1473343362 #<Container name:borg-6251687275-517 ID:50c59eacecbf0f5eb7fdc906b371a8535f57b54737a47831203a604cf8793a63 start:1473342834 generation_timestamps:{:nursery=>{:start=>1473342834, :stop=>1473343362}} generation_current:nursery cpu:0.19992 mem:0.26712 metrics:{:cpu=>{:max=>1.9277688921644687, :mean=>0.1676189019385275}, :memory=>{:max=>267116544, :mean=>264907636}}>
stop:1473343371 #<Container name:borg-6251699832-26 ID:83d2465ff885be278243a1b839a2961051052fb19d76ff60d56bf0812e2ad405 start:1473343082 generation_timestamps:{:nursery=>{:start=>1473343082, :stop=>1473343371}} generation_current:nursery cpu:0.074952 mem:0.018648 metrics:{:cpu=>{:max=>1.1387980566689704, :mean=>0.23052144859591303}, :memory=>{:max=>18644992, :mean=>18378906}}>
