#strategy mean-30 stdev-30 mean-60 stdev-60 mean-90 stdev-90 mean-120 stdev-120 mean-150 stdev-150
binpack 36.3245115 3.8267542420513 71.5674014 29.633500124159 95.34825415 2.8441555802554 126.74733125 2.6857842298444 159.640762 8.626186687398  
custom 34.99222565 3.0357392789204 63.8484923 2.2604022815857 108.22451645 13.361529989365 126.13310515 3.4858558751455 169.31372 30.533147283206  
random 35.2158279 4.5783325642521 66.6820469 6.8316062004157 104.8369676 17.583065067176 118.29478275 27.336113250879 159.12100905 6.6123800119821  
spread 37.32150345 5.5046276105411 71.3046594 8.5434747624793 99.24965385 6.4237519784826 126.0508123 5.0166859288171 158.45402175 5.8299451230001 
